"Total seconds","Self seconds","File size","File path"
1.279485,0.024731,21004,"/usr/include/c++/8/string_view"
0.811142,0.026925,20813,"/usr/include/c++/8/bits/char_traits.h"
0.693151,0.043829,50464,"/usr/include/c++/8/bits/stl_algobase.h"
0.494904,0.467710,57318,"/usr/include/x86_64-linux-gnu/c++/8/bits/c++config.h"
0.292424,0.020659,18642,"/usr/include/c++/8/bits/stl_pair.h"
0.286355,0.259571,87482,"/usr/include/c++/8/type_traits"
0.207800,0.016975,6529,"/usr/include/c++/8/bits/move.h"
0.197079,0.004875,6918,"/usr/include/c++/8/iosfwd"
0.163883,0.095521,69181,"/usr/include/c++/8/limits"
0.157467,0.012975,6509,"/usr/include/c++/8/cwchar"
0.114570,0.008041,8208,"/usr/include/c++/8/bits/postypes.h"
0.108467,0.005486,8680,"/usr/include/c++/8/bits/stl_iterator_base_types.h"
0.091880,0.044892,31111,"/usr/include/wchar.h"
0.062686,0.037647,42291,"/usr/include/c++/8/bits/stl_iterator.h"
0.059015,0.031954,9789,"/usr/include/c++/8/bits/cpp_type_traits.h"
0.055268,0.002068,2607,"/usr/include/c++/8/bits/stringfwd.h"
0.049206,0.015252,5914,"/usr/include/c++/8/ext/type_traits.h"
0.044408,0.028943,15541,"/usr/include/features.h"
0.038901,0.011883,8238,"/usr/include/c++/8/bits/functional_hash.h"
0.036617,0.002067,2167,"/usr/include/c++/8/cstdint"
0.036437,0.008177,10030,"/usr/include/c++/8/bits/range_access.h"
0.031158,0.004118,3423,"/usr/include/c++/8/bits/concept_check.h"
0.030094,0.002444,3254,"/usr/include/c++/8/bits/functexcept.h"
0.028260,0.002343,2974,"/usr/include/c++/8/initializer_list"
0.027224,0.001192,2419,"/usr/include/c++/8/bits/memoryfwd.h"
0.027018,0.000970,2146,"/usr/include/c++/8/bits/hash_bytes.h"
0.026831,0.001142,2007,"/usr/include/x86_64-linux-gnu/c++/8/bits/os_defines.h"
0.024861,0.002682,4423,"/usr/include/x86_64-linux-gnu/bits/floatn.h"
0.019032,0.007290,4575,"/usr/include/c++/8/ext/numeric_traits.h"
0.015984,0.009551,9419,"/usr/include/x86_64-linux-gnu/bits/floatn-common.h"
0.014189,0.013467,17622,"/usr/include/x86_64-linux-gnu/sys/cdefs.h"
0.011021,0.011021,9083,"/usr/include/c++/8/bits/predefined_ops.h"
0.009834,0.007510,8178,"/usr/include/c++/8/bits/stl_iterator_base_funcs.h"
0.009517,0.005826,6394,"/usr/include/c++/8/bits/ptr_traits.h"
0.008790,0.008790,14140,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stddef.h"
0.008064,0.000434,328,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint.h"
0.007809,0.001454,2607,"/usr/include/x86_64-linux-gnu/bits/libc-header-start.h"
0.007630,0.007630,9457,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdint-gcc.h"
0.007312,0.007312,6698,"/usr/include/c++/8/bits/string_view.tcc"
0.004003,0.003074,5221,"/usr/include/c++/8/debug/debug.h"
0.002096,0.002096,2411,"/usr/include/c++/8/debug/assertions.h"
0.001878,0.001878,4072,"/usr/lib/gcc/x86_64-linux-gnu/8/include/stdarg.h"
0.001173,0.000433,982,"/usr/include/x86_64-linux-gnu/bits/types/locale_t.h"
0.000839,0.000839,2363,"/usr/include/stdc-predef.h"
0.000805,0.000805,1645,"/usr/include/c++/8/bits/exception_defines.h"
0.000788,0.000296,135,"/usr/include/x86_64-linux-gnu/bits/types/mbstate_t.h"
0.000757,0.000757,1905,"/usr/include/x86_64-linux-gnu/bits/wchar.h"
0.000740,0.000740,1721,"/usr/include/x86_64-linux-gnu/bits/types/__locale_t.h"
0.000518,0.000518,923,"/usr/include/x86_64-linux-gnu/bits/long-double.h"
0.000492,0.000492,564,"/usr/include/x86_64-linux-gnu/bits/types/__mbstate_t.h"
0.000490,0.000490,796,"/usr/include/x86_64-linux-gnu/bits/types/wint_t.h"
0.000468,0.000468,442,"/usr/include/x86_64-linux-gnu/bits/wordsize.h"
0.000437,0.000437,384,"/usr/include/x86_64-linux-gnu/gnu/stubs.h"
0.000363,0.000363,1333,"/usr/include/x86_64-linux-gnu/c++/8/bits/cpu_defines.h"
0.000235,0.000235,180,"/usr/include/x86_64-linux-gnu/bits/types/FILE.h"
0.000207,0.000207,110,"/usr/include/x86_64-linux-gnu/bits/types/__FILE.h"
